"Version,""Task"",""Concept"",""Att 1 - Verpflegung"",""Att 2 - Kundenbewertung"",""Att 3 - Art des Hotels"",""Att 4 - Meerblick"",""Att 5 - Preis"",""Att 6 - Zimmerkategorie"""
16,8,1,1,1,1,3,3,2
16,8,2,3,3,3,2,2,3
16,9,1,2,1,1,1,3,2
16,9,2,1,2,2,3,1,1
16,10,1,3,1,2,1,2,3
16,10,2,1,3,3,2,3,1
16,11,1,2,2,1,3,1,2
16,11,2,3,1,3,2,3,1
16,12,1,1,3,2,3,1,3
16,12,2,2,2,1,1,2,2
16,13,1,2,3,2,1,3,1
16,13,2,3,1,1,2,1,3
16,14,1,2,1,2,1,1,1
16,14,2,1,2,3,3,2,2
16,15,1,1,3,1,2,2,2
16,15,2,3,2,3,3,3,3
16,16,1,1,2,1,1,1,1
16,16,2,3,1,2,3,2,2
16,17,1,2,3,3,2,3,3
16,17,2,3,2,1,1,2,1
16,18,1,2,1,2,3,3,3
16,18,2,1,3,3,2,1,2
16,19,1,1,3,1,1,2,3
16,19,2,3,2,2,2,3,2
16,20,1,1,3,2,1,3,2
16,20,2,2,1,3,3,1,1
16,21,1,2,2,3,2,2,1
16,21,2,3,1,1,3,1,3
17,1,1,3,2,3,1,1,2
17,1,2,1,3,1,3,3,1
17,2,1,2,1,2,2,2,3
17,2,2,3,3,3,3,3,1
17,3,1,2,1,2,1,2,2
17,3,2,1,2,1,2,1,3
17,4,1,3,1,1,2,2,1
17,4,2,1,2,3,1,3,3
17,5,1,1,1,3,1,2,3
17,5,2,2,3,2,3,1,2
17,6,1,2,2,1,2,3,2
17,6,2,3,3,2,3,1,1
17,7,1,2,3,3,1,1,3
17,7,2,1,2,2,3,2,1
17,8,1,3,1,1,2,3,2
17,8,2,2,3,3,3,2,3
17,9,1,3,2,1,1,3,2
17,9,2,1,1,2,2,1,1
17,10,1,1,1,3,3,3,2
17,10,2,3,2,2,1,1,3
17,11,1,1,2,2,3,3,3
17,11,2,2,3,1,2,2,1
17,12,1,2,1,1,2,1,1
17,12,2,3,3,3,1,2,2
17,13,1,2,2,3,2,3,1
17,13,2,1,3,1,3,2,2
17,14,1,3,1,2,1,1,3
17,14,2,2,2,3,3,2,2
17,15,1,1,3,1,1,3,1
17,15,2,3,1,2,2,1,3
17,16,1,1,2,3,2,1,2
17,16,2,2,3,1,3,3,3
17,17,1,1,2,1,3,1,3
17,17,2,3,1,2,1,2,1
17,18,1,2,1,2,1,3,2
17,18,2,3,3,3,2,2,1
17,19,1,2,3,2,1,1,2
17,19,2,1,1,3,2,3,3
17,20,1,1,3,2,2,1,2
17,20,2,3,2,1,3,2,1
17,21,1,3,1,1,3,2,3
17,21,2,2,2,3,1,3,1
18,1,1,3,1,3,3,1,2
18,1,2,2,2,2,2,2,3
18,2,1,3,2,3,2,1,2
18,2,2,1,3,1,1,3,1
18,3,1,1,1,2,3,2,1
18,3,2,2,3,1,1,1,3
18,4,1,1,1,1,1,2,2
18,4,2,3,3,2,3,3,3
18,5,1,1,1,3,1,2,3
18,5,2,2,2,2,2,3,1
18,6,1,3,3,1,2,3,2
18,6,2,2,2,3,3,1,1
18,7,1,2,1,2,3,3,2
