"Version,""Task"",""Concept"",""Att 1 - Verpflegung"",""Att 2 - Kundenbewertung"",""Att 3 - Art des Hotels"",""Att 4 - Meerblick"",""Att 5 - Preis"",""Att 6 - Zimmerkategorie"""
5,1,4,2,2,1,2,3,2
5,1,5,1,3,2,1,2,1
5,2,1,2,3,1,1,1,1
5,2,2,3,2,2,3,2,2
5,2,3,1,1,3,2,3,1
5,2,4,1,1,3,2,3,3
5,2,5,2,3,1,3,2,3
5,3,1,1,2,2,1,3,3
5,3,2,3,1,1,2,1,2
5,3,3,3,1,2,1,3,2
5,3,4,1,2,3,2,1,3
5,3,5,2,3,1,3,2,1
5,4,1,2,2,3,2,2,2
5,4,2,3,1,1,1,1,3
5,4,3,1,3,2,3,3,1
5,4,4,2,2,2,2,1,1
5,4,5,3,3,3,3,3,2
5,5,1,3,3,2,3,1,1
5,5,2,3,3,1,2,3,3
5,5,3,2,2,1,2,3,2
5,5,4,1,1,3,1,2,3
5,5,5,1,1,3,1,2,1
5,6,1,1,1,1,1,1,2
5,6,2,3,3,1,2,3,1
5,6,3,2,2,2,3,2,3
5,6,4,2,2,3,1,1,3
5,6,5,1,1,2,3,2,2
5,7,1,3,3,3,2,2,3
5,7,2,2,3,3,1,3,2
5,7,3,2,1,2,1,1,1
5,7,4,1,2,1,3,1,3
5,7,5,3,1,2,2,2,1
5,8,1,1,2,3,3,3,1
5,8,2,2,1,1,2,2,2
5,8,3,3,1,1,2,1,1
5,8,4,1,2,3,3,3,2
5,8,5,2,3,2,1,2,3
5,9,1,1,3,2,3,3,3
5,9,2,1,3,2,1,1,2
5,9,3,3,2,3,1,1,2
5,9,4,2,1,1,2,2,1
5,9,5,3,1,3,3,3,3
5,10,1,1,2,1,1,2,3
5,10,2,2,3,3,2,1,3
5,10,3,1,1,1,3,3,1
5,10,4,3,3,3,3,1,1
5,10,5,3,2,2,1,2,2
5,11,1,1,1,1,3,1,3
5,11,2,2,2,2,2,3,1
5,11,3,2,2,2,2,3,2
5,11,4,3,1,1,3,2,2
5,11,5,3,3,3,1,2,1
5,12,1,2,2,3,1,3,3
5,12,2,3,1,1,3,2,1
5,12,3,1,3,2,2,1,2
5,12,4,2,2,3,2,1,1
5,12,5,1,3,1,1,3,2
5,13,1,3,1,2,2,1,3
5,13,2,1,3,2,2,2,3
5,13,3,3,2,1,1,1,1
5,13,4,2,2,3,3,2,2
5,13,5,2,1,3,3,3,2
5,14,1,2,1,1,3,1,1
5,14,2,1,1,2,1,3,1
5,14,3,1,3,2,1,3,3
5,14,4,3,2,3,2,2,2
5,14,5,2,3,1,3,1,3
5,15,1,1,2,1,2,2,2
5,15,2,2,1,1,3,1,1
5,15,3,3,3,3,1,3,1
5,15,4,1,3,3,2,2,3
5,15,5,3,2,2,1,3,2
5,16,1,1,1,3,2,1,2
5,16,2,2,1,2,1,2,3
5,16,3,3,3,3,3,3,2
5,16,4,3,2,2,3,2,3
5,16,5,2,3,1,1,3,1
5,17,1,3,1,1,1,3,3
5,17,2,2,1,2,3,3,2
5,17,3,2,3,3,3,2,2
5,17,4,1,2,1,2,1,3
5,17,5,1,2,2,2,1,1
5,18,1,2,1,1,3,3,2
5,18,2,3,2,2,3,2,3
5,18,3,1,2,3,1,2,1
5,18,4,1,3,3,1,1,1
5,18,5,3,3,2,2,1,3
5,19,1,2,2,2,3,1,3
5,19,2,2,3,1,2,3,3
5,19,3,3,1,3,2,3,1
5,19,4,3,1,2,1,1,2
5,19,5,1,3,1,1,2,2
5,20,1,2,3,2,1,1,2
5,20,2,3,1,1,3,3,3
5,20,3,2,2,3,1,1,3
5,20,4,1,1,2,2,2,1
5,20,5,1,2,3,2,2,1
5,21,1,2,1,2,1,1,3
5,21,2,1,3,2,3,2,1
5,21,3,3,3,3,2,2,1
5,21,4,1,2,1,3,3,2
5,21,5,3,2,1,2,3,2
6,1,1,2,1,3,2,2,3
6,1,2,2,3,1,1,2,3
6,1,3,3,2,1,1,1,2
6,1,4,1,1,2,2,3,2
6,1,5,3,2,3,3,1,1
6,2,1,1,2,2,3,3,1
6,2,2,3,1,2,1,2,2
6,2,3,2,2,1,2,1,3
6,2,4,1,3,3,3,3,1
6,2,5,3,3,3,2,1,2
6,3,1,2,1,3,1,3,1
6,3,2,1,1,3,1,2,3
6,3,3,1,3,1,3,2,3
6,3,4,3,2,2,2,1,2
6,3,5,2,3,2,3,3,1
6,4,1,1,3,1,1,1,2
6,4,2,3,2,3,3,2,3
6,4,3,2,2,2,1,2,1
6,4,4,1,1,3,3,1,2
6,4,5,3,3,1,2,3,3
6,5,1,2,1,1,2,2,1
6,5,2,3,2,3,1,3,3
6,5,3,2,1,1,2,3,1
6,5,4,3,3,2,3,1,3
6,5,5,1,2,3,1,2,2
6,6,1,3,2,3,1,2,3
6,6,2,1,1,1,3,1,1
6,6,3,1,1,2,2,3,3
6,6,4,2,3,1,3,1,2
6,6,5,2,3,2,2,3,2
6,7,1,1,2,1,2,3,2
6,7,2,3,3,1,1,2,2
6,7,3,2,3,3,3,2,3
6,7,4,2,2,3,3,1,1
6,7,5,3,1,2,1,1,1
6,8,1,2,2,1,1,3,3
6,8,2,1,3,2,2,3,1
6,8,3,3,2,1,3,2,3
6,8,4,1,1,2,2,2,1
6,8,5,2,1,3,1,1,2
6,9,1,3,1,3,3,3,1
6,9,2,1,1,2,3,3,2
6,9,3,2,2,1,1,2,3
6,9,4,1,3,2,2,1,2
6,9,5,3,3,3,2,1,1
6,10,1,1,2,1,1,1,1
6,10,2,2,2,2,3,2,2
6,10,3,3,3,2,3,3,3
6,10,4,2,1,3,2,2,2
6,10,5,1,1,3,2,1,3
6,11,1,2,3,3,1,3,1
6,11,2,1,1,3,3,1,3
6,11,3,3,1,1,2,2,2
6,11,4,3,3,1,1,3,1
6,11,5,2,2,2,2,2,2
6,12,1,3,2,2,3,1,1
6,12,2,3,3,2,1,1,1
6,12,3,2,1,3,2,2,2
6,12,4,1,3,1,1,3,3
6,12,5,1,2,1,3,3,3
6,13,1,2,3,3,2,1,3
6,13,2,2,2,3,2,3,1
6,13,3,1,2,2,1,2,1
6,13,4,3,1,2,1,1,3
6,13,5,1,3,1,3,2,2
6,14,1,2,2,1,3,1,1
6,14,2,3,1,3,1,3,2
6,14,3,3,1,1,3,3,2
6,14,4,2,3,2,1,2,1
6,14,5,1,2,3,2,1,3
6,15,1,1,3,1,2,1,2
6,15,2,3,3,1,2,2,3
6,15,3,2,1,3,1,1,1
6,15,4,1,2,2,3,3,2
6,15,5,3,1,2,3,2,3
6,16,1,1,2,1,1,1,2
6,16,2,3,3,3,3,2,1
6,16,3,2,1,2,2,3,3
6,16,4,3,2,1,2,3,1
6,16,5,1,1,3,1,2,3
6,17,1,1,1,1,1,2,1
6,17,2,2,3,3,3,3,2
6,17,3,3,2,3,2,1,3
6,17,4,3,2,2,2,2,1
6,17,5,2,3,2,3,3,2
6,18,1,2,1,2,3,1,3
6,18,2,1,3,3,1,3,2
6,18,3,1,3,2,3,1,2
6,18,4,3,2,1,2,2,1
6,18,5,2,1,1,1,3,3
6,19,1,1,1,1,3,1,1
6,19,2,3,1,2,1,2,2
6,19,3,2,2,2,1,3,2
6,19,4,1,2,3,3,3,1
6,19,5,2,3,1,2,1,3
6,20,1,1,1,2,3,3,1
6,20,2,2,2,1,1,1,2
6,20,3,3,3,3,2,2,3
6,20,4,3,3,3,2,3,3
6,20,5,2,2,1,3,2,2
6,21,1,2,2,1,3,3,1
6,21,2,3,1,3,2,1,2
6,21,3,3,3,2,1,1,1
6,21,4,1,1,1,2,2,3
6,21,5,1,3,2,1,2,3
7,1,1,3,1,1,1,1,2
7,1,2,1,2,2,2,3,3
7,1,3,2,3,3,3,2,1
7,1,4,2,1,2,2,2,1
7,1,5,1,2,3,1,3,3
7,2,1,1,3,1,2,3,1
7,2,2,2,1,2,2,3,3
7,2,3,1,2,1,1,2,1
7,2,4,3,3,3,3,1,2
7,2,5,3,2,3,3,1,2
7,3,1,3,1,2,3,2,3
7,3,2,2,3,3,1,1,2
7,3,3,3,1,3,3,2,2
7,3,4,2,3,2,1,1,3
7,3,5,1,2,1,2,3,1
7,4,1,1,1,1,3,1,3
7,4,2,1,3,1,2,2,2
7,4,3,3,2,2,2,3,2
7,4,4,3,1,3,1,3,1
7,4,5,2,3,3,1,2,1
7,5,1,3,3,1,1,3,2
7,5,2,3,1,1,1,3,3
7,5,3,2,2,2,3,1,3
7,5,4,1,1,3,2,2,1
7,5,5,2,2,2,3,1,1
7,6,1,1,3,2,3,1,3
7,6,2,2,3,2,2,1,2
7,6,3,3,1,1,1,3,1
7,6,4,2,2,3,2,2,2
7,6,5,1,2,3,3,2,3
7,7,1,1,1,2,1,2,2
7,7,2,2,1,2,2,1,1
7,7,3,3,3,1,3,2,3
7,7,4,1,2,3,1,3,2
7,7,5,2,3,3,3,3,3
7,8,1,3,2,1,2,1,3
7,8,2,3,2,1,2,1,1
7,8,3,1,3,2,3,2,2
7,8,4,2,1,3,1,3,3
7,8,5,2,3,2,1,2,1
7,9,1,2,3,1,1,2,3
7,9,2,3,2,2,2,3,2
7,9,3,1,1,1,2,1,2
7,9,4,3,2,3,3,3,1
7,9,5,1,1,3,3,1,1
7,10,1,1,2,3,1,1,3
7,10,2,1,3,3,2,1,1
7,10,3,2,1,1,3,2,2
7,10,4,3,3,2,2,3,1
7,10,5,3,2,2,1,2,2
7,11,1,2,1,1,3,3,3
7,11,2,3,1,2,1,1,1
7,11,3,3,3,3,2,2,2
7,11,4,2,2,1,3,3,3
7,11,5,1,2,2,1,1,1
7,12,1,1,3,1,3,2,3
7,12,2,1,3,3,2,3,3
7,12,3,3,2,2,1,1,1
7,12,4,2,1,3,2,3,2
7,12,5,2,1,1,3,2,2
7,13,1,3,3,1,3,1,2
7,13,2,1,1,3,1,3,2
7,13,3,2,3,1,2,1,1
7,13,4,2,2,3,2,2,1
7,13,5,3,2,2,3,2,3
7,14,1,2,2,1,2,1,2
7,14,2,2,2,3,1,1,2
7,14,3,1,1,2,2,3,3
7,14,4,1,1,2,1,3,3
7,14,5,3,3,3,3,2,1
7,15,1,2,2,3,2,1,2
7,15,2,1,3,2,3,3,1
7,15,3,3,1,1,1,2,3
7,15,4,1,3,1,1,2,1
7,15,5,3,1,2,3,3,3
7,16,1,3,2,1,2,2,3
7,16,2,3,3,3,1,1,3
7,16,3,1,1,3,3,1,1
7,16,4,2,1,2,2,2,1
7,16,5,2,3,2,1,3,2
7,17,1,1,2,1,3,3,2
7,17,2,2,1,3,1,1,3
7,17,3,3,3,2,2,2,1
7,17,4,2,3,1,1,3,1
