"Version","Task","Concept","Att 1 - Verpflegung","Att 2 - Kundenbewertung","Att 3 - Art des Hotels","Att 4 - Meerblick","Att 5 - Preis","Att 6 - Zimmerkategorie"
277,1,2,3,2,1,1,3,2
278,1,1,2,3,2,3,2,3
278,1,2,1,1,3,1,3,1
279,1,1,2,3,1,3,2,2
279,1,2,3,2,2,2,1,3
280,1,1,1,1,2,2,2,2
280,1,2,2,2,1,3,1,1
281,1,1,2,2,2,2,1,1
281,1,2,3,3,3,1,3,3
282,1,1,3,1,3,3,2,2
282,1,2,1,3,1,1,3,3
283,1,1,1,2,2,1,2,3
283,1,2,2,1,1,2,3,2
284,1,1,2,1,2,1,3,3
284,1,2,3,3,3,3,1,1
285,1,1,3,3,1,2,2,1
285,1,2,1,2,3,3,1,2
286,1,1,3,3,2,2,3,2
286,1,2,2,2,3,1,2,1
287,1,1,1,1,1,3,1,3
287,1,2,2,3,2,2,3,1
288,1,1,3,1,1,1,1,3
288,1,2,1,2,3,3,2,2
289,1,1,1,3,3,2,1,3
289,1,2,3,2,1,3,3,1
290,1,1,2,1,2,1,2,2
290,1,2,3,2,1,2,1,3
291,1,1,2,3,3,1,2,2
291,1,2,1,1,2,3,3,1
292,1,1,2,2,3,3,3,3
292,1,2,1,3,2,1,1,1
293,1,1,2,3,3,3,1,1
293,1,2,3,1,1,2,2,2
294,1,1,1,2,2,2,2,3
294,1,2,3,1,1,1,3,2
295,1,1,2,2,1,1,1,1
295,1,2,3,3,2,3,2,3
296,1,1,3,2,2,1,1,3
296,1,2,1,1,3,2,3,2
297,1,1,2,3,3,2,3,2
297,1,2,1,1,1,3,2,1
298,1,1,3,2,2,3,3,2
298,1,2,2,1,3,2,2,3
299,1,1,1,3,1,1,1,1
299,1,2,2,1,2,3,3,3
300,1,1,3,2,3,1,2,1
300,1,2,1,3,1,2,1,2
301,1,1,2,2,2,2,1,2
301,1,2,1,1,3,1,2,3
302,1,1,1,2,2,1,2,2
302,1,2,3,3,1,3,3,1
303,1,1,2,3,1,3,3,3
303,1,2,3,1,3,2,1,1
304,1,1,2,2,1,2,2,1
304,1,2,3,1,2,3,1,2
305,1,1,1,3,3,1,3,3
305,1,2,2,2,1,3,1,2
306,1,1,3,1,3,1,2,3
306,1,2,1,3,2,2,3,1
307,1,1,2,1,1,1,3,1
307,1,2,3,3,3,3,2,2
308,1,1,1,2,2,2,1,3
308,1,2,3,3,1,1,2,2
309,1,1,2,1,2,2,1,3
309,1,2,1,2,3,3,3,1
310,1,1,3,2,3,2,3,2
310,1,2,2,3,2,3,2,1
311,1,1,1,1,1,1,1,3
311,1,2,3,3,2,2,3,1
312,1,1,2,1,3,1,1,2
312,1,2,1,2,1,3,2,3
313,1,1,2,3,1,2,2,3
313,1,2,3,1,3,3,1,1
314,1,1,3,3,3,3,1,3
314,1,2,1,2,2,1,3,2
315,1,1,1,1,1,2,2,1
315,1,2,2,2,2,1,3,2
316,1,1,1,3,3,2,1,2
316,1,2,3,2,1,1,3,3
317,1,1,2,1,2,3,2,1
317,1,2,3,2,1,2,1,2
318,1,1,2,1,3,3,3,3
318,1,2,1,3,2,1,2,1
319,1,1,1,1,1,3,3,2
319,1,2,2,2,3,1,1,1
320,1,1,2,1,1,1,3,1
320,1,2,3,3,2,2,2,3
321,1,1,1,3,2,3,1,2
321,1,2,3,2,3,2,2,3
322,1,1,3,1,2,1,1,1
322,1,2,2,3,3,2,2,2
323,1,1,3,1,2,1,2,2
323,1,2,1,2,1,3,3,3
324,1,1,1,2,3,2,3,1
324,1,2,2,3,1,3,1,3
325,1,1,3,2,1,3,2,2
325,1,2,2,3,2,1,3,3
326,1,1,1,1,3,2,1,1
326,1,2,3,3,1,1,3,2
327,1,1,2,2,3,2,1,1
327,1,2,1,1,2,3,2,3
